genes	AML1	AML2	AML3	AML4	AML5	AML6	AML7	AML8	AML9	AML10	AML11	AML12	AML13	AML14	AML15	AML16	AML17	AML18	AML19	AML20	AML21	AML22	AML23	AML24	AML25	AML26	count
SLC12A7	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.502762257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MAGOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.541639272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
EIF2AK2	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.55213682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MIR141	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.083704747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MIR4737	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.504160263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SRI	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.667705745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
RTRAF	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.569872319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MAPK8IP3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.501700424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SNORA84	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.4960984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MIR3671	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.946279479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
IRF2BP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.616048515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SEC61B	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.804620855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SCARNA12	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.801092708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SLFN13	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.552130022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MIR1284	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.779052969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
VTRNA1-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.785558848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
RPS16	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.534915771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SNORA71C	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.033625185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MIR644A	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.825945403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KAT2B	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.512108761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
GUSBP17	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.552528248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MIR4257	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.546776799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ABCC4	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.579479526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
UTP4	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.547667974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MIR3173	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.523763066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SNORD18A	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.951293277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SNORD1C	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.623827686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SNORA50A	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.18577297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PSENEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.630692999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
EIF2B2	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.555491247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NDUFA12	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.511494668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
STAM	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.679794181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
RMRP	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.510798389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SNORD97	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.810688487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MIR142	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.682029024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ANXA2R	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.505329263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SLCO5A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.665646792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MIRLET7A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.627508286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRKD3	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.566594045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
POM121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.343597225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PBX2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.535618057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
LINC00852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.67910064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PCSK7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.439713304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
RPS18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.379332894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PLAGL2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.348195076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SMG1P5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.54932501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRAG1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.381311669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MIR4457	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.341804519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
TRIM27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.41113671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
FEM1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.457226369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
H2AW	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.727190702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MAML1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.510303383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PNRC2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.473052938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NECAP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.447469584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SLC22A5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.352884339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
CHTOP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.343804416	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MLX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.40403273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ZNF652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.471207263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
DCP1B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.396157711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
TSC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.460851066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
RESF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.014502589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
TNRC6C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.675473517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
STK17A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.428609306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
FAM133B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.424442891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
POLR2L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.538711077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
EIF4G2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.385817384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ZNF512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.369404278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
CNEP1R1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.666174636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ZMAT2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.434958604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NUP88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.387812463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
H2AC8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.594732822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MIR548X	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.9549024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
DERL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.340344934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRUNE1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.518946336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ZNF319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.427533526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ZNF585A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.374235367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
C7orf31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.389600543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NPTXR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.341014793	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PPP1R10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.44958203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
H2AC14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.619377923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SMYD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.514315385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
RBM5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.462251619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ZNF609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.34395957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
CHAMP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.397940431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MRPL10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.396820222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
H3C4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.643606183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
CRTC2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.41997812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
AGAP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.356584326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MIR449B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.444242802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NCBP3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.401535434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SNORD35B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.546739696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
GSK3A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.509320806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
AGFG2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.383010253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
DDX17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.582228085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PWWP2A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.33924343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
RAB11B-AS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.368903748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
CSK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.382041303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ZDHHC6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.481849713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MAVS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.34321105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
LINC01550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.487716659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
FEM1B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.496941918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
H2BC7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.892528731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PIK3R4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.407448005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MIR4252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.441204696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
VPS72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.358985695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
GTF3C2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.485843968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SMG1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.495004261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
OTUD6A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.491785134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
RC3H1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.572502972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
H2AJ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.38771935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
H1-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.800037485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MIR1281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.590593124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SNX1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.395941688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
H2BC18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.488156918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
RSBN1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.358751788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
H1-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.692562041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SIRT1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.359973974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
UBE4A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.398653299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
CYCS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.382918512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PARP15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.798496322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SNORD62B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.876544821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ABRAXAS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.378716295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SRSF5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.372206764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PGPEP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.421263618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ZNF24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.456405981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
GLYR1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.451085467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SNORA70G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.396231546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
CRKL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.685425216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ZDHHC16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.462352122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
GSK3B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.425232344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MLXIP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.374352234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
H2AC20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.47131873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
MIR548A3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.424825813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
CRLF3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.482402494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ARHGEF6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.363627631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SHISAL2A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.435534458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
HCFC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.425247425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
FIP1L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.358719658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
APOBEC3D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.767876954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
UBQLN1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.398322165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
H2AC12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.436886149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ANP32E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.38349031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRDX6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.368244136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KPNB1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.412403342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
CYB5D2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.34261638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
TSEN54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.354217519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
WASHC5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.386376533	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
CCNT2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.435720679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
H2AC11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.825194362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
VTA1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.486961698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
POLH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.405958286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
SLC6A16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.345459875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NOMO1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.356825865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
GPR108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.377142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
