genes	AML1	AML2	AML3	AML4	AML5	AML6	AML7	AML8	AML9	AML10	AML11	AML12	AML13	AML14	AML15	AML16	AML17	AML18	AML19	AML20	AML21	AML22	AML23	AML24	AML25	AML26
CYP2F1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.391706572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MUC6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.045142948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC47A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.246124616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCAS4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.782280256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NBR2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.167140094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNX24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.84517254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACSBG1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.675866071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
POU2F3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.76573477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
THAP10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.031993605	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TACR3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.22369934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10-Sep	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.80463227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FSD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.737007448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EMC10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.025576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.639875561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDE8B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.946034281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TAZ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.888767447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SERPINC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.132060881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPRD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.590975885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.173861587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
POU1F1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.042549358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FRK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.376229429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MTNR1B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.137441546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRRG1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.328953467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TNP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.10285406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101929047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.790055572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HERC2P10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.790055572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HERC2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.790055572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIST1H2BB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.36746436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RASGRF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.17296513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAGEA12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6746069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FGF5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.102734385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F2RL2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.960335658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTK6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2538894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.254534347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.137728507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TJP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.822120662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KRT84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.460015662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTPRN2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.774860788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBMY1J	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.964443635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBMY1E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.964443635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBMY1D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.964443635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBMY1B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.964443635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBMY1F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.964443635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBMY1A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.964443635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPINK5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.068242837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARSD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.868147009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101927562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.037938471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DUSP8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.037938471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
URB1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.183962707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACSM5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.320041847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCDHGA8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.447833144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
APOF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.875849692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC29A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.069936014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRRC75B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.573551485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DSERG1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.946114372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSTA1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.830631744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MED6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.86952398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BTG4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.632380847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC100653057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.165918536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101928718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.664984597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM212B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.664984597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KRT75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.859475943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRRC37BP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.962123804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLCL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.098584961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLDN8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.512408048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM161A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.20196967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DPYS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.288562024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR6875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.298581157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HRH4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.920785448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KHDRBS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.302559379	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDZD7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.8276967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DOK4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.001143534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFHR1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.277632069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PP14571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.939378317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCL1B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.843063232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDON	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.600594356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERC2-IT1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.058964399	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZAP70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.300148225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC339166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.16188588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RUNX1-IT1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.039659912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101929272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.483007826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RRBP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.773018344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.125292353	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AVPR1B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.782332172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CACNA1E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.876335554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC100131510	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.039953698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC30A4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.237928948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101929115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.086972796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EPPIN-WFDC6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.928879109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EPPIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.928879109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRP5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.164707929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NTS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.075998875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KRT76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.852598819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1QTNF9B-AS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.376931243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR2F1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.44581784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LEP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.067696308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GDF3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.86328494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C3orf36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.956521418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GJA4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.073814668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.879568257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRM2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.965994146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CELP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.907090455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHGB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.150191499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HAVCR1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.689518665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC100996542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.082983836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRM7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.082983836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INS-IGF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.347657154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCB11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.944023993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZMIZ2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.052706812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTPRG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.161676702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.984972981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GREB1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.988057718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLCN4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.097556867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RTEL1-TNFRSF6B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.044096533	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RECQL5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.952648881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RASAL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.794248812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MELTF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.128978607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ST8SIA2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.351946999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ITGB4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.895966213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC19A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.968638482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TNFRSF10C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.012724174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOP14-AS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.860052891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NEU2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.526476842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCL14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.546012207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JRK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.21530524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGOT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.911944523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CADM1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.395547923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC100996756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.29266528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BIN3-IT1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.898949127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SYT1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.780829612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZBBX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.786527503	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRO2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.835768934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAA2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.511651054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNJ1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.305672424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CSNK1G1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.176593786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRSS12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.473339561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB11FIP4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.316684158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGFR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.339984967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PMP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.249686084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLEKHS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.361537599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GNA14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.958343069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NME8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.208371092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NGB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.797715216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCDHGA3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.958519342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NPPC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.768073926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MCOLN3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.162012432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AICDA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.467576901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G6PC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.922151832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMPRSS15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.80690434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.926978027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCLM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.927535906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.949742423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5887387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDH11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.94144614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MUC7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.378704523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZSCAN2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.951397909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADAMTSL4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.308908522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.977396109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
